ARO	AMR gene family	ARGs	Class	resistance mechanisms	Length
ARO:3000237	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	tolC	aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;macrolide antibiotic;penam;penem;peptide antibiotic;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	495
ARO:3000245	RbpA bacterial RNA polymerase-binding protein	RbpA	rifamycin antibiotic	antibiotic target protection	114
ARO:3000250	Erm 23S ribosomal RNA methyltransferase	ErmC	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	244
ARO:3000251	ABC-F ATP-binding cassette ribosomal protection protein	msrA	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	488
ARO:3000254	major facilitator superfamily (MFS) antibiotic efflux pump	emrY	tetracycline antibiotic	antibiotic efflux	512
ARO:3000263	General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump	marA	carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux;reduced permeability to antibiotic	127
ARO:3000300	ABC-F ATP-binding cassette ribosomal protection protein	lsaA	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	498
ARO:3000316	macrolide phosphotransferase (MPH)	mphA	macrolide antibiotic	antibiotic inactivation	301
ARO:3000318	macrolide phosphotransferase (MPH)	mphB	macrolide antibiotic	antibiotic inactivation	302
ARO:3000319	macrolide phosphotransferase (MPH)	mphC	macrolide antibiotic	antibiotic inactivation	299
ARO:3000326	Erm 23S ribosomal RNA methyltransferase	ErmE	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	381
ARO:3000343	major facilitator superfamily (MFS) antibiotic efflux pump	tap	tetracycline antibiotic	antibiotic efflux	409
ARO:3000347	Erm 23S ribosomal RNA methyltransferase	ErmA	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	243
ARO:3000361	macrolide esterase	EreA	macrolide antibiotic	antibiotic inactivation	406
ARO:3000363	macrolide esterase	EreB	macrolide antibiotic	antibiotic inactivation	419
ARO:3000368	glycopeptide resistance gene cluster;van ligase	vanC	glycopeptide antibiotic	antibiotic target alteration	343
ARO:3000375	Erm 23S ribosomal RNA methyltransferase	ErmB	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	248
ARO:3000377	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexA	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	383
ARO:3000378	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexB	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	1046
ARO:3000379	resistance-nodulation-cell division (RND) antibiotic efflux pump	OprM	acridine dye;aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	485
ARO:3000380	fosC phosphotransferase family	FosC	fosfomycin	antibiotic inactivation	182
ARO:3000391	major facilitator superfamily (MFS) antibiotic efflux pump	norA	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic	antibiotic efflux	387
ARO:3000392	Erm 23S ribosomal RNA methyltransferase	Erm(37)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	179
ARO:3000410	sulfonamide resistant sul	sul1	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement	279
ARO:3000412	sulfonamide resistant sul	sul2	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement	271
ARO:3000413	sulfonamide resistant sul	sul3	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement	263
ARO:3000421	major facilitator superfamily (MFS) antibiotic efflux pump	norB	fluoroquinolone antibiotic	antibiotic efflux	466
ARO:3000423	Fom phosphotransferase family	FomA	fosfomycin	antibiotic inactivation	266
ARO:3000444	rifampin phosphotransferase	rphA	rifamycin antibiotic	antibiotic inactivation	865
ARO:3000448	major facilitator superfamily (MFS) antibiotic efflux pump	qepA	fluoroquinolone antibiotic	antibiotic efflux	511
ARO:3000449	Fom phosphotransferase family	FomB	fosfomycin	antibiotic inactivation	330
ARO:3000462	mgt macrolide glycotransferase	mgtA	macrolide antibiotic	antibiotic inactivation	418
ARO:3000463	gimA family macrolide glycosyltransferase	gimA	macrolide antibiotic	antibiotic inactivation	417
ARO:3000467	NDM beta-lactamase	NDM-5	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	270
ARO:3000476	major facilitator superfamily (MFS) antibiotic efflux pump	tet(31)	tetracycline antibiotic	antibiotic efflux	410
ARO:3000478	major facilitator superfamily (MFS) antibiotic efflux pump	tet(33)	tetracycline antibiotic	antibiotic efflux	407
ARO:3000481	ATP-binding cassette (ABC) antibiotic efflux pump	tet(35)	tetracycline antibiotic	antibiotic efflux	369
ARO:3000491	resistance-nodulation-cell division (RND) antibiotic efflux pump	acrD	aminoglycoside antibiotic	antibiotic efflux	1037
ARO:3000495	Erm 23S ribosomal RNA methyltransferase	ErmD	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	287
ARO:3000498	Erm 23S ribosomal RNA methyltransferase	ErmF	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	266
ARO:3000499	resistance-nodulation-cell division (RND) antibiotic efflux pump	acrE	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux	385
ARO:3000501	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	Nocardia	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	1162
ARO:3000502	resistance-nodulation-cell division (RND) antibiotic efflux pump	acrF	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux	1034
ARO:3000504	resistance-nodulation-cell division (RND) antibiotic efflux pump	golS	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic	antibiotic efflux	154
ARO:3000508	resistance-nodulation-cell division (RND) antibiotic efflux pump	gadX	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux	274
ARO:3000510	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupB	mupirocin	antibiotic target alteration	1033
ARO:3000516	major facilitator superfamily (MFS) antibiotic efflux pump	emrR	fluoroquinolone antibiotic	antibiotic efflux	176
ARO:3000518	resistance-nodulation-cell division (RND) antibiotic efflux pump	CRP	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux	210
ARO:3000521	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupA	mupirocin	antibiotic target alteration	1024
ARO:3000522	Erm 23S ribosomal RNA methyltransferase	ErmG	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	244
ARO:3000526	resistance-nodulation-cell division (RND) antibiotic efflux pump	cmeR	cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic	antibiotic efflux	210
ARO:3000533	ATP-binding cassette (ABC) antibiotic efflux pump	macA	macrolide antibiotic	antibiotic efflux	392
ARO:3000535	ATP-binding cassette (ABC) antibiotic efflux pump	macB	macrolide antibiotic	antibiotic efflux	644
ARO:3000549	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeS	glycylcycline;tetracycline antibiotic	antibiotic efflux	361
ARO:3000553	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeR	glycylcycline;tetracycline antibiotic	antibiotic efflux	247
ARO:3000556	tetracycline-resistant ribosomal protection protein	tet44	tetracycline antibiotic	antibiotic target protection	640
ARO:3000559	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeN	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	217
ARO:3000561	major facilitator superfamily (MFS) antibiotic efflux pump	tet(30)	tetracycline antibiotic	antibiotic efflux	394
ARO:3000565	major facilitator superfamily (MFS) antibiotic efflux pump	tet(38)	tetracycline antibiotic	antibiotic efflux	450
ARO:3000566	major facilitator superfamily (MFS) antibiotic efflux pump	tet(39)	tetracycline antibiotic	antibiotic efflux	395
ARO:3000567	major facilitator superfamily (MFS) antibiotic efflux pump	tet(40)	tetracycline antibiotic	antibiotic efflux	406
ARO:3000569	major facilitator superfamily (MFS) antibiotic efflux pump	tet(41)	tetracycline antibiotic	antibiotic efflux	393
ARO:3000572	major facilitator superfamily (MFS) antibiotic efflux pump	tet(42)	tetracycline antibiotic	antibiotic efflux	428
ARO:3000573	major facilitator superfamily (MFS) antibiotic efflux pump	tet(43)	tetracycline antibiotic	antibiotic efflux	519
ARO:3000578	CfiA beta-lactamase	CcrA	carbapenem	antibiotic inactivation	249
ARO:3000579	BlaB beta-lactamase	Chryseobacterium	carbapenem;penam	antibiotic inactivation	249
ARO:3000582	L1 family beta-lactamase	L1	cephalosporin	antibiotic inactivation	295
ARO:3000589	NDM beta-lactamase	NDM-1	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	270
ARO:3000590	NDM beta-lactamase	NDM-2	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	270
ARO:3000592	Erm 23S ribosomal RNA methyltransferase	ErmN	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	291
ARO:3000593	Erm 23S ribosomal RNA methyltransferase	ErmQ	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	257
ARO:3000594	Erm 23S ribosomal RNA methyltransferase	ErmR	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	340
ARO:3000595	Erm 23S ribosomal RNA methyltransferase	ErmT	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	244
ARO:3000596	Erm 23S ribosomal RNA methyltransferase	ErmX	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	284
ARO:3000598	Erm 23S ribosomal RNA methyltransferase	Erm(31)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	322
ARO:3000599	Erm 23S ribosomal RNA methyltransferase	Erm(33)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	243
ARO:3000600	Erm 23S ribosomal RNA methyltransferase	Erm(34)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	281
ARO:3000601	Erm 23S ribosomal RNA methyltransferase	Erm(38)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	386
ARO:3000602	Erm 23S ribosomal RNA methyltransferase	Erm(39)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	246
ARO:3000603	Erm 23S ribosomal RNA methyltransferase	Erm(41)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	138
ARO:3000604	Erm 23S ribosomal RNA methyltransferase	Erm(35)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	266
ARO:3000605	Erm 23S ribosomal RNA methyltransferase	Erm(36)	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	281
ARO:3000606	FEZ beta-lactamase	FEZ-1	carbapenem;cephalosporin;penam	antibiotic inactivation	282
ARO:3000614	major facilitator superfamily (MFS) antibiotic efflux pump	mefE	macrolide antibiotic	antibiotic efflux	403
ARO:3000616	ABC-F ATP-binding cassette ribosomal protection protein	mel	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	405
ARO:3000617	methicillin resistant PBP2	mecA	carbapenem;cephalosporin;cephamycin;monobactam;penam	antibiotic target replacement	668
ARO:3000620	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeL	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	337
ARO:3000621	blaZ beta-lactamase	PC1	penam	antibiotic inactivation	281
ARO:3000656	resistance-nodulation-cell division (RND) antibiotic efflux pump	acrS	cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	220
ARO:3000676	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	H-NS	cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic	antibiotic efflux	137
ARO:3000746	multidrug and toxic compound extrusion (MATE) transporter	mepR	glycylcycline;tetracycline antibiotic	antibiotic efflux	139
ARO:3000753	multidrug and toxic compound extrusion (MATE) transporter	abeM	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;triclosan	antibiotic efflux	448
ARO:3000768	small multidrug resistance (SMR) antibiotic efflux pump	abeS	aminocoumarin antibiotic;macrolide antibiotic	antibiotic efflux	109
ARO:3000774	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeA	glycylcycline;tetracycline antibiotic	antibiotic efflux	396
ARO:3000775	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeB	glycylcycline;tetracycline antibiotic	antibiotic efflux	1035
ARO:3000777	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeF	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	1059
ARO:3000778	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeG	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	406
ARO:3000779	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeH	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	483
ARO:3000780	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeI	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	416
ARO:3000781	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeJ	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	1058
ARO:3000782	resistance-nodulation-cell division (RND) antibiotic efflux pump	adeK	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	484
ARO:3000783	resistance-nodulation-cell division (RND) antibiotic efflux pump	cmeA	cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic	antibiotic efflux	367
ARO:3000784	resistance-nodulation-cell division (RND) antibiotic efflux pump	cmeB	cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic	antibiotic efflux	1040
ARO:3000785	resistance-nodulation-cell division (RND) antibiotic efflux pump	cmeC	cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic	antibiotic efflux	492
ARO:3000789	resistance-nodulation-cell division (RND) antibiotic efflux pump	mdsA	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic	antibiotic efflux	408
ARO:3000790	resistance-nodulation-cell division (RND) antibiotic efflux pump	mdsB	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic	antibiotic efflux	1055
ARO:3000791	resistance-nodulation-cell division (RND) antibiotic efflux pump	mdsC	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic	antibiotic efflux	503
ARO:3000792	resistance-nodulation-cell division (RND) antibiotic efflux pump	mdtA	aminocoumarin antibiotic	antibiotic efflux	415
ARO:3000793	resistance-nodulation-cell division (RND) antibiotic efflux pump	mdtB	aminocoumarin antibiotic	antibiotic efflux	1040
ARO:3000794	resistance-nodulation-cell division (RND) antibiotic efflux pump	mdtC	aminocoumarin antibiotic	antibiotic efflux	1025
ARO:3000795	resistance-nodulation-cell division (RND) antibiotic efflux pump	mdtE	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux	385
ARO:3000796	resistance-nodulation-cell division (RND) antibiotic efflux pump	mdtF	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux	1037
ARO:3000800	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexC	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	387
ARO:3000801	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexD	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	1043
ARO:3000802	resistance-nodulation-cell division (RND) antibiotic efflux pump	OprJ	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	479
ARO:3000803	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexE	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	414
ARO:3000804	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexF	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	1062
ARO:3000805	resistance-nodulation-cell division (RND) antibiotic efflux pump	OprN	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	472
ARO:3000806	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexG	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	148
ARO:3000807	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexH	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	370
ARO:3000808	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexI	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	1029
ARO:3000809	resistance-nodulation-cell division (RND) antibiotic efflux pump	opmD	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	487
ARO:3000810	resistance-nodulation-cell division (RND) antibiotic efflux pump	mtrC	macrolide antibiotic;penam	antibiotic efflux	412
ARO:3000811	resistance-nodulation-cell division (RND) antibiotic efflux pump	mtrD	macrolide antibiotic;penam	antibiotic efflux	1067
ARO:3000812	resistance-nodulation-cell division (RND) antibiotic efflux pump	mtrE	macrolide antibiotic;penam	antibiotic efflux	467
ARO:3000815	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump	mgrA	acridine dye;cephalosporin;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;penam;peptide antibiotic;tetracycline antibiotic	antibiotic efflux	147
ARO:3000816	resistance-nodulation-cell division (RND) antibiotic efflux pump	mtrA	macrolide antibiotic;penam	antibiotic efflux	228
ARO:3000822	major facilitator superfamily (MFS) antibiotic efflux pump	pmrA	fluoroquinolone antibiotic	antibiotic efflux	399
ARO:3000823	General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump	ramA	carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux;reduced permeability to antibiotic	124
ARO:3000826	resistance-nodulation-cell division (RND) antibiotic efflux pump	sdiA	cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	240
ARO:3000828	resistance-nodulation-cell division (RND) antibiotic efflux pump	baeR	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux	240
ARO:3000829	resistance-nodulation-cell division (RND) antibiotic efflux pump	baeS	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux	467
ARO:3000830	resistance-nodulation-cell division (RND) antibiotic efflux pump	cpxA	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux	457
ARO:3000832	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	evgA	fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic	antibiotic efflux	204
ARO:3000833	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	evgS	fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic	antibiotic efflux	1197
ARO:3000838	major facilitator superfamily (MFS) antibiotic efflux pump	arlR	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic	antibiotic efflux	219
ARO:3000839	major facilitator superfamily (MFS) antibiotic efflux pump	arlS	acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic	antibiotic efflux	451
ARO:3000840	JOHN beta-lactamase	JOHN-1	carbapenem;cephalosporin;penam	antibiotic inactivation	248
