BacMet_ID	Gene_name	Accession	gene lentgh	Organism	Location	Compound
BAC0740	tcrY	Q3MNJ7	151	Enterococcus faecium	Plasmid	Copper (Cu)
BAC0739	copD	Q9KWM8	311	Pseudomonas syringae	Plasmid	Copper (Cu)
BAC0738	copC	Q9KWM9	127	Pseudomonas syringae	Plasmid	Copper (Cu)
BAC0736	cueR	O07586	143	Bacillus subtilis	Chromosome	Copper (Cu)
BAC0735	pcoC	Q56797	127	Xanthomonas campestris pv. Juglandis	Plasmid	Copper (Cu)
BAC0734	pcoB	Q56796	339	Xanthomonas campestris pv. Juglandis	Plasmid	Copper (Cu)
BAC0733	pcoD	Q56798	307	Xanthomonas campestris pv. Juglandis	Plasmid	Copper (Cu)
BAC0732	pcoA	Q56795	635	Xanthomonas campestris pv. Juglandis	Plasmid	Copper (Cu)
BAC0731	copZ	Q2FV63	68	Staphylococcus aureus	Chromosome	Copper (Cu)
BAC0730	copB	Q7WYH0	295	Pseudomonas putida	Chromosome	Copper (Cu)
BAC0729	copC	Q7WYG9	124	Pseudomonas putida	Chromosome	Copper (Cu)
BAC0725	copA	Q59385	834	Escherichia coli K-12	Chromosome	Copper (Cu)
BAC0724	copZ	O32221	69	Bacillus subtilis	Chromosome	Copper (Cu)
BAC0723	copA	Q9L914	641	Aeromonas veronii bv. Sobria	Transposon	Copper (Cu)
BAC0722	copB	Q9L913	284	Aeromonas veronii bv. Sobria	Transposon	Copper (Cu)
BAC0721	copC	Q9L912	177	Aeromonas veronii bv. Sobria	Transposon	Copper (Cu)
BAC0720	copS	D4PBR9	477	Achromobacter sp. AO23	Chromosome	Copper (Cu)
BAC0719	copR	D4PBS0	230	Achromobacter sp. AO22	Chromosome	Copper (Cu)
BAC0718	copB	D4PBS2	326	Achromobacter sp. AO22	Chromosome	Copper (Cu)
BAC0717	copG	D4PBS3	161	Achromobacter sp. AO22	Chromosome	Copper (Cu)
BAC0716	copA	D4PBS1	619	Achromobacter sp. AO22	Chromosome	Copper (Cu)
BAC0715	aioE	W1L7N4	348	Argobacterium tumefaciens GW4 	Chromosome	Arsenic (As)
BAC0714	arsT	B7FB00	324	Microbacterium sp. A33	Chromosome	Arsenic (As)
BAC0713	copM	A0A0F6QDN6	196	Synechocystis sp. PCC 6803	Plasmid	Copper (Cu)
BAC0711	qrg	E9NM73	108	Streptococcus oralis	Transposon	Cetyltrimethylammonium bromide (CTAB) [class: Quaternary Ammonium Compounds (QACs)]
BAC0710	arrB	AAQ01673	234	Shewanella sp. strain ANA-3	Chromosome	Arsenic (As)
BAC0709	arrA	Q7WTU0	854	Shewanella sp. strain ANA-3	Chromosome	Arsenic (As)
BAC0708	chtS	ZP_06677962	341	Enterococcus faecium	Chromosome	Chlorhexidine [class: Biguanides]
BAC0707	chtR	ZP_06677963	193	Enterococcus faecium	Chromosome	Chlorhexidine [class: Biguanides]
BAC0707	sodB	P0AGD3	224	Escherichia coli K12	Chromosome	Selenium (Se), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0706	bcrC	I6ZWM1	193	Listeria monocytogenes	Plasmid	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0706	sodB	P53641	114	Pseudomonas aeruginosa	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0705	bcrB	I7A797	203	Listeria monocytogenes	Plasmid	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0705	sodA	P53652	105	Pseudomonas aeruginosa	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0704	bcrA	I7B1B9	179	Listeria monocytogenes	Plasmid	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0703	ncrB	Q8VTR5	301	Hafnia alvei 5-5	Plasmid pNRS148	Cobalt (Co), Nickel (Ni)
BAC0702	ncrA	Q8VTR6	277	Hafnia alvei 5-5	Plasmid pNRS148	Cobalt (Co), Nickel (Ni)
BAC0701	ncrY	Q8VTR3	63	Hafnia alvei 5-5	Plasmid pNRS148	Cobalt (Co), Nickel (Ni)
BAC0700	ncrC	Q1KLR0	231	Serratia marcescens strain C-1	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0699	ncrB	Q1KLR1	89	Serratia marcescens strain C-1	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0698	ncrA	Q1KLR2	432	Serratia marcescens strain C-1	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0697	merT	Q7DHE5	98	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg)
BAC0696	merT	P08656	128	Staphylococcus aureus	Plasmid pI258	Mercury (Hg)
BAC0695	merT	P13112	116	Serratia marcescens	Plasmid pDU1358 (Serratia marcescens)	Mercury (Hg)
BAC0694	merT-P	H6WCN3	204	Tenacibaculum discolor 9A5	Chromosome	Mercury (Hg)
BAC0693	merT	Q79F00	116	Pseudomonas sp. K-62	Plasmid pMR26 (Pseudomonas sp. K-62)	Mercury (Hg)
BAC0692	merT	Q79BG6	116	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0691	merT	Q52397	116	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0690	merT	Q934S7	116	Thiobacillus ferrooxidans	Chromosome, Transposon Tn5037	Mercury (Hg)
BAC0689	merR	Q934S8	151	Thiobacillus ferrooxidans	Chromosome, Transposon Tn5037	Mercury (Hg)
BAC0688	merR2	Q79B70	144	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0687	merR	Q79BG7	144	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0686	merR	P13111	144	Serratia marcescens	Plasmid pDU1358 (Serratia marcescens)	Mercury (Hg)
BAC0685	merR	H6WCN2	124	Tenacibaculum discolor 9A5	Chromosome	Mercury (Hg)
BAC0684	merR2	Q7DKL2	144	Pseudomonas sp. K-62	Plasmid pMR26 (Pseudomonas sp. K-62)	Mercury (Hg)
BAC0683	merR1	O07300	144	Pseudomonas sp. K-62	Plasmid pMR26 (Pseudomonas sp. K-62)	Mercury (Hg)
BAC0682	merR1	P22853	132	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg)
BAC0681	merR2	Q9WWL1	129	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0680	merR	P22874	135	Staphylococcus aureus	Plasmid pI258	Mercury (Hg)
BAC0679	merP	O66047	91	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0678	merP	O66016	91	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0677	merP	H6WCN4	113	Tenacibaculum discolor 9A5	Chromosome	Mercury (Hg)
BAC0676	merP	Q7DHE4	116	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg)
BAC0675	merP	O07301	91	Pseudomonas sp. K-62	Plasmid pMR26 (Pseudomonas sp. K-62)	Mercury (Hg)
BAC0674	merP	Q934S6	92	Thiobacillus ferrooxidans	Chromosome, Transposon Tn5037	Mercury (Hg)
BAC0673	merE	P06690	78	Pseudomonas aeruginosa	Plasmid pVS1	Mercury (Hg)
BAC0672	merE	Q79BE4	78	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0671	merE	Q79BG5	78	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0670	merE	Q52104	78	Serratia marcescens	Plasmid pDU1358 (Serratia marcescens)	Mercury (Hg)
BAC0669	merD	Q9Z3Y7	121	Pseudomonas sp. K-62	Plasmid pMR26	Mercury (Hg)
BAC0668	merD	Q5NUV1 	121	Ralstonia metallidurans CH34	Plasmid pMOL28, Plasmid pMOL30	Mercury (Hg)
BAC0667	merD	P08654	121	Serratia marcescens	Plasmid pDU1358	Mercury (Hg)
BAC0666	merD	O66018	121	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0665	merD	O66022	121	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0664	merC	O66048	141	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0663	merB1	Q9XDX3	214	Bacillus megaterium MB1	Chromosome, Transposon TnMERI1	Mercury (Hg), Fluorescein mercuric acetate [class: Organo-mercury], p-chloro-mercuribenzoic acid [class: Organo-mercury], Phenylmercury Acetate [class: Organo-mercury]
BAC0662	merB3	Q9RHR0	242	Bacillus megaterium MB1	Chromosome, Transposon TnMERI1	Mercury (Hg), Fluorescein mercuric acetate [class: Organo-mercury], p-chloro-mercuribenzoic acid [class: Organo-mercury], Phenylmercury Acetate [class: Organo-mercury], Thimerosal [class: Organo-mercury], Methylmercury chloride [class: Organo-mercury], Ethylmercury chloride [class: Organo-mercury]
BAC0661	merB2	Q7DJN2	209	Bacillus megaterium MB1	Chromosome, Transposon TnMERI1	Mercury (Hg), Fluorescein mercuric acetate [class: Organo-mercury], p-chloro-mercuribenzoic acid [class: Organo-mercury], Phenylmercury Acetate [class: Organo-mercury]
BAC0660	merB	Q52396	219	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0659	merB	P08664	212	Serratia marcescens	Plasmid pDU1358	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0658	merB	P08653	216	Staphylococcus aureus	plasmid pI258	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0657	merB	O07303	212	Pseudomonas sp. K-62	Plasmid pMR26	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury], Methylmercury Acetate [class: Organo-mercury]
BAC0656	merB3	Q7DHE7	218	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0655	merB2	Q9WWL2	209	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0654	merB1	P16172	218	Bacillus sp. (strain RC607)	Chromosome	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0653	merA	Q934S5	562	Thiobacillus ferrooxidans	Chromosome, Transposon Tn5037	Mercury (Hg)
BAC0652	merA	O66017	561	Pseudomonas stutzeri	Plasmid pPB	Mercury (Hg)
BAC0651	merA	P0A0E5	547	Staphylococcus aureus	Plasmid pI258	Mercury (Hg)
BAC0650	merA	O08449	569	Pseudomonas sp. K-62	Plasmid pMR26	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury], Methylmercury Acetate [class: Organo-mercury]
BAC0649	merA	E3VST6	568	Tenacibaculum discolor 9A5	Chromosome	Mercury (Hg)
BAC0648	merA	P08662	460	Serratia marcescens	Plasmid pDU1358	Mercury (Hg), Phenylmercury Acetate [class: Organo-mercury]
BAC0647	mdtC	D0ZNE0	1026	Salmonella enterica serovar Typhimurium	Chromosome	Zinc (Zn)
BAC0646	mdtB	D0ZND9	1040	Salmonella enterica serovar Typhimurium	Chromosome	Zinc (Zn)
BAC0645	mdtA	D0ZND8	413	Salmonella enterica serovar Typhimurium	Chromosome	Zinc (Zn)
BAC0644	corD	Q56017	125	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0643	corB	Q9X621	227	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0642	mgtA	P36640	902	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0641	corA	P0A2R8	316	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Magnesium (Mg), Cobalt (Co), Nickel (Ni), Manganese (Mn)
BAC0640	copD	C6FFR7	312	Pseudomonas fluorescens	Chromosome	Copper (Cu)
BAC0639	copC	C6FFR6 	127	Pseudomonas fluorescens	Chromosome	Copper (Cu)
BAC0638	copR	C6FFR4	231	Pseudomonas fluorescens	Chromosome	Copper (Cu)
BAC0637	copS	C6FFR5	462	Pseudomonas fluorescens	Chromosome	Copper (Cu)
BAC0635	copP	Q9ZM70	66	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	Chromosome	Copper (Cu)
BAC0634	copP	O32620	66	Helicobacter felis (strain ATCC 49179 / NCTC 12436 / CS1)	Chromosome	Copper (Cu)
BAC0633	copD	Q7WYG8	291	Pseudomonas putida PNL-MK25	Chromosome	Copper (Cu)
BAC0632	copD	P12377	310	Pseudomonas syringae pv. Tomato	Plasmid pPT23D	Copper (Cu)
BAC0631	copC	F4ZBX9	127	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0630	copC	P12376	126	Pseudomonas syringae pv. Tomato	Plasmid pPT23D	Copper (Cu)
BAC0629	copB	O30085	690	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	Chromosome	Copper (Cu)
BAC0628	copB	F4ZBX4	422	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0627	copB	F4ZD00	422	Xanthomonas alfalfae subsp. Citrumelonis	Chromosome	Copper (Cu)
BAC0626	copB	P12375	328	Pseudomonas syringae pv. Tomato	Plasmid pPT23D	Copper (Cu)
BAC0625	copA	F4ZCZ9	622	Xanthomonas alfalfae subsp. Citrumelonis	Chromosome	Copper (Cu)
BAC0624	copA	O32619	732	Helicobacter felis (strain ATCC 49179 / NCTC 12436 / CS1)	Chromosome	Copper (Cu)
BAC0623	copA	Q59467	741	Helicobacter pylori (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0622	copA	O29777	804	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	Chromosome	Copper (Cu), Silver (Ag)
BAC0621	copA	F4ZBX3	623	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0620	copA	P32113	727	Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258)	Chromosome	Copper (Cu)
BAC0619	copA	Q7WYH1	564	Pseudomonas putida PNL-MK25	Chromosome	Copper (Cu)
BAC0618	hpcopP	Q48271	66	Helicobacter pylori (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0617	hpcopA	P77871	745	Helicobacter pylori (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0616	cmeE	Q0P9M0	246	Campylobacter jejuni	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol], Tween 20 [class: Polyoxyethylene], Empigen [class: Amine betaine], Sodium Cholate [class: Acid], Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Chenodeoxycholate [class: Acid]
BAC0615	cmeD	Q0P9M1	424	Campylobacter jejuni	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol], Tween 20 [class: Polyoxyethylene], Empigen [class: Amine betaine], Sodium Cholate [class: Acid], Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Chenodeoxycholate [class: Acid]
BAC0614	cmeC	Q8RTE3	492	Campylobacter jejuni	Chromosome	Copper (Cu), Cobalt (Co), Sodium Chenodeoxycholate [class: Acid], Sodium Deoxycholate [class: Acid], Sodium Cholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]  
BAC0613	cmeB	Q8RTE4	1040	Campylobacter jejuni	Chromosome	Copper (Cu), Cobalt (Co), Sodium Chenodeoxycholate [class: Acid], Sodium Deoxycholate [class: Acid], Sodium Cholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Acridine orange [class: Acridine]
BAC0612	perO	D5AQ60	595	Rhodobacter capsulatus	Chromosome	Molybdenum (Mo), Tungsten (W), Vanadium (V)
BAC0611	modC	P09833	352	Escherichia coli (strain K12)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0610	modB	P0AF01	229	Escherichia coli (strain K12)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0609	modA	P37329	257	Escherichia coli (strain K12)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0608	modE	P0A9G8	262	Escherichia coli (strain K12)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0607	tupC	Q93KD4	214	Eubacterium acidaminophilum	Chromosome	Tungsten (W)
BAC0606	tupB	Q93KD5	228	Eubacterium acidaminophilum	Chromosome	Tungsten (W)
BAC0605	tupA	Q93KD6	286	Eubacterium acidaminophilum	Chromosome	Tungsten (W)
BAC0604	wtpC	Q8U4K3	344	Pyrococcus furiosus	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0603	wtpB	Q8U4K4	249	Pyrococcus furiosus	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0602	wtpA	Q8U4K5	345	Pyrococcus furiosus	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0601	tunR	Q72FN4	403	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0600	modC	Q72FN3	253	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0599	modB	Q72FN2	233	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0598	modA	Q72FN6	269	Desulfovibrio vulgaris Hildenborough (strain GZ6027)	Chromosome	Tungsten (W), Molybdenum (Mo)
BAC0597	baeS	D0ZNE2	467	Salmonella Typhimurium	Chromosome	Copper (Cu), Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]
BAC0596	baeR	D0ZNE3	240	Salmonella Typhimurium	Chromosome	Copper (Cu), Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]
BAC0595	arsH	P74312	206	Synechocystis sp. PCC 6803	Chromosome	Arsenic (As), Menadione [class: Naphthoquinone]
BAC0594	arsR	P37309	117	Escherichia coli (strain K12)	Chromosome	Arsenic (As)
BAC0593	arsR	P45949	105	Bacillus subtilis (strain 168)	Chromosome	Arsenic (As)
BAC0592	arsR	Q01256	104	Staphylococcus xylosus	Plasmid pSX267	Arsenic (As), Antimony (Sb), Bismuth (Bi)
BAC0591	arsR	P52144	117	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb), Bismuth (Bi)
BAC0590	arsR	P30338	104	Staphylococcus aureus	Plasmid pI258	Arsenic (As), Antimony (Sb), Bismuth (Bi)
BAC0589	arsR	P15905	117	Escherichia coli	Plasmid R773	Arsenic (As), Antimony (Sb), Bismuth (Bi)
BAC0588	arsR	P74986	117	Yersinia enterocolitica	Plasmid pYV	Arsenic (As)
BAC0587	arsD	P52148	120	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb)
BAC0586	arsC	P74313	131	Synechocystis sp. PCC 6803	Chromosome	Arsenic (As)
BAC0585	arsC	P74984	141	Yersinia enterocolitica	Plasmid pYV	Arsenic (As), Antimony (Sb)
BAC0584	arsC	O50595	141	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	Plasmid pKW301	Arsenic (As), Antimony (Sb)
BAC0583	arsC	P52147	141	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb)
BAC0582	arsC	P08692	141	Escherichia coli	Plasmid R773	Arsenic (As), Antimony (Sb)
BAC0581	arsC	P45947	139	Bacillus subtilis (strain 168)	Chromosome	Arsenic (As)
BAC0580	arsC	Q01257	131	Staphylococcus xylosus	Plasmid pSX267	Arsenic (As)
BAC0579	arsB	P74311	383	Synechocystis sp. PCC 6803	Chromosome	Arsenic (As), Antimony (Sb)
BAC0578	arsB	O50594	429	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	Plasmid pKW301	Arsenic (As), Antimony (Sb)
BAC0577	arsB	P74985	429	Yersinia enterocolitica	Plasmid pYV	Arsenic (As)
BAC0576	arsB	P52146	429	Escherichia coli	Plasmid IncN R46	Arsenic (As), Antimony (Sb)
BAC0575	arsB	Q01255	429	Staphylococcus xylosus	Plasmid pSX267	Arsenic (As), Antimony (Sb)
BAC0574	arsB	P30329	429	Staphylococcus aureus	Plasmid pI258	Arsenic (As), Antimony (Sb)
BAC0573	arsB	P45946	346	Bacillus subtilis (strain 168)	Chromosome	Arsenic (As)
BAC0572	arsA	P08690	583	Escherichia coli	Plasmid R773	Arsenic (As), Antimony (Sb)
BAC0571	arsA	O50593	583	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	Plasmid pKW301	Arsenic (As), Antimony (Sb)
BAC0570	actP	D5AU53	551	Rhodobacter capsulatus B100	Chromosome	Tellurium (Te)
BAC0569	hmrR	Q9X5V4	129	Rhizobium leguminosarum bv. Viciae	Chromosome	Copper (Cu), Hydrochloric acid (HCl) [class: Acid]
BAC0568	actP	Q9X5V3	841	Rhizobium leguminosarum bv. Viciae	Chromosome	Copper (Cu)
BAC0567	actA	Q52910	531	Rhizobium meliloti TG2-6	Chromosome	Copper (Cu), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid]
BAC0566	actS	Q52912	433	Rhizobium meliloti strain WSM419	Chromosome	Cadmium (Cd), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid], Sodium azide [class: Azide]
BAC0565	actR	A6UEL7	194	Rhizobium meliloti strain WSM419	Chromosome	Cadmium (Cd), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid], Sodium azide [class: Azide]
BAC0564	actP/yjcG	P32705	549	Escherichia coli (strain K12)	Chromosome	Sodium Glycocholate [class: Acid], Sodium acetate [class: Acetate]
BAC0563	acrD	Q8ZN77	1037	Salmonella enterica serovar Typhimurium	Chromosome	Copper (Cu), Zinc (Zn)
BAC0562	oprN	P95423	472	Pseudomonas aeruginosa (strain ATCC 15692/PAO1/1C/PRS 101/LMG 12228)	Chromosome	Triclosan [class: Phenolic compounds], n-hexane [class: Alkane], p-xylene [class: Aromatic hydrocarbons]
BAC0561	marR	P27245	144	Escherichia coli (strain K12)	Chromosome	Cyclohexane [class: Cycloalkane], Diphenyl Ether [class: Phenyl], n-hexane [class: Alkane]
BAC0560	marA	P0ACH5	127	Escherichia coli (strain K12)	Chromosome	Cyclohexane [class: Cycloalkane], Diphenyl Ether [class: Phenyl], n-hexane [class: Alkane]
BAC0559	emrR	P0ACR9	176	Escherichia coli (strain K12)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone]
BAC0558	csoR	O32222	101	Bacillus subtilis 168	Chromosome	Copper (Cu)
BAC0557	ycnK	P94433	190	Bacillus subtilis 168	Chromosome	Copper (Cu)
BAC0556	ycnJ	C0SP95	541	Bacillus subtilis168	Chromosome	Copper (Cu)
BAC0555	nccH	Q44583	186	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0554	nccN	Q44587	213	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0553	nccX	Q44582	148	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0552	nccY	Q44581	95	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0551	nccC	Q44584	437	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0550	nccB	Q44585	397	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0549	nccA	Q44586	1076	Alcaligenes xylosoxidans 31A	Plasmid pTOM9	Nickel (Ni), Cobalt (Co), Cadmium (Cd)
BAC0548	chrA1	P17551	401	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0547	chrC	P17550	197	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)	Chromium (Cr)
BAC0546	cnrA	A9DF47	304	Bradyrhizobium sp. STM 2458	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0545	cnrA	A9DF51	304	Bradyrhizobium sp. STM 2460	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0544	cnrA	A9DF42	304	Bradyrhizobium sp. STM 2457	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0543	cnrA	A9DF56	304	Bradyrhizobium sp. STM 2464	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0542	cnrA	B0B0H8	304	Bradyrhizobium sp. STM 2465	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0541	yieF	P0AGE6	188	Escherichia coli K12	Chromosome	Chromium (Cr), Vanadium (V), Molybdenum (Mo), Methylene Blue [class: Thiazinium]
BAC0540	nfsA	P17117	240	Escherichia coli K12	Chromosome	Chromium (Cr)
